Feature,Importance
OverallQual,0.15858875
TotalSF,0.12018005
GarageCond_TA,0.09307946
CentralAir_Y,0.070900105
KitchenAbvGr,0.053188156
FireplaceQu_None,0.040746555
GarageCars,0.03916048
TotalBath,0.024030196
GarageQual_TA,0.020158079
KitchenQual_TA,0.016171388
Fireplaces,0.010490322
Neighborhood_OldTown,0.010272672
Neighborhood_Edwards,0.01026188
Condition2_PosN,0.010093385
Functional_Typ,0.009166528
MSZoning_RM,0.007824895
GrLivArea,0.007460517
GarageType_Detchd,0.0073667127
Neighborhood_Crawfor,0.007317347
Exterior2nd_Stucco,0.0072319135
ExterQual_TA,0.007170669
KitchenQual_Gd,0.006567581
YearRemodAdd,0.0064279665
OverallCond,0.0063867173
GarageCond_Fa,0.0062619117
GarageType_Attchd,0.0061699674
HouseStyle_1.5Unf,0.006118462
Neighborhood_NAmes,0.0060537388
BsmtExposure_Gd,0.0056959046
HouseAge,0.0055801813
SaleType_New,0.0054734815
PoolArea,0.0052608373
Fence_GdWo,0.0049243392
Exterior2nd_Brk Cmn,0.004543393
GarageYrBlt,0.0044935914
Exterior1st_BrkFace,0.004483433
MSZoning_RL,0.0044754767
LotShape_Reg,0.004276411
RemodAge,0.0042392937
1stFlrSF,0.004147949
BsmtFinType1_GLQ,0.0041297292
Neighborhood_ClearCr,0.00397994
HouseStyle_1Story,0.0038298403
GarageArea,0.0035185877
Exterior1st_BrkComm,0.003174018
ExterCond_Fa,0.0031547328
FireplaceQu_Po,0.003135356
BsmtFinSF1,0.0031320185
YearBuilt,0.0030666564
BsmtQual_Gd,0.0030644736
TotalBsmtSF,0.0030474504
BsmtExposure_No,0.003031194
BsmtHalfBath,0.0028875866
LandSlope_Mod,0.0028690791
2ndFlrSF,0.0028057934
LotConfig_Inside,0.002765242
BsmtQual_TA,0.0027192263
HalfBath,0.0026832533
LandContour_HLS,0.0026641148
FireplaceQu_Gd,0.0026589688
LotArea,0.0026264235
FullBath,0.0025828434
BedroomAbvGr,0.0025319052
SaleCondition_Family,0.0025290013
Condition1_Norm,0.0021213288
PavedDrive_Y,0.002114643
Condition1_RRAe,0.0020095652
Exterior2nd_MetalSd,0.001996954
BsmtCond_TA,0.0018870862
Functional_Mod,0.0018834582
OpenPorchSF,0.0017988196
Foundation_CBlock,0.0017636234
Neighborhood_Somerst,0.001751566
Exterior2nd_Plywood,0.0017316067
EnclosedPorch,0.0016811118
SaleCondition_Normal,0.0016614844
MSZoning_RH,0.0016279619
GarageType_CarPort,0.001519747
LotConfig_CulDSac,0.0014872933
Neighborhood_NWAmes,0.0014591917
MiscFeature_Shed,0.0014195362
Neighborhood_StoneBr,0.0014012001
Foundation_PConc,0.001389361
Neighborhood_Mitchel,0.001381261
RoofMatl_CompShg,0.0013184872
ScreenPorch,0.0012589425
Exterior1st_VinylSd,0.0012514512
Functional_Maj2,0.0012292264
BsmtFinType1_Rec,0.0012135771
Neighborhood_BrkSide,0.0012078881
HouseStyle_SLvl,0.0011939753
BsmtUnfSF,0.0011775157
WoodDeckSF,0.0011653233
Functional_Min2,0.0011587029
Exterior2nd_HdBoard,0.0011322354
Condition1_Feedr,0.0011227846
ExterCond_Gd,0.0010934506
LotFrontage,0.0010802926
Exterior1st_HdBoard,0.0010700733
Exterior2nd_Wd Shng,0.0010475361
Fence_None,0.0009638703
MoSold,0.00095245807
TotRmsAbvGrd,0.0009500803
BsmtFinSF2,0.0009433104
LandContour_Lvl,0.0009401149
Exterior1st_Stucco,0.0009277614
MSZoning_FV,0.0009271864
BsmtFinType2_BLQ,0.0009182943
Alley_Pave,0.0008745308
Electrical_SBrkr,0.00086778204
Exterior2nd_Wd Sdng,0.0008534228
MSSubClass,0.00084262155
MasVnrType_BrkFace,0.0008415871
3SsnPorch,0.00083781814
LotConfig_FR2,0.0008316197
Neighborhood_SawyerW,0.0008093812
LowQualFinSF,0.00079433137
BsmtFinType1_Unf,0.0007838467
Exterior1st_Plywood,0.0007634714
Alley_None,0.0007490179
HeatingQC_Gd,0.0007256048
Condition1_PosN,0.0007187465
Fence_MnPrv,0.00071745465
Exterior1st_CemntBd,0.00069078646
ExterQual_Gd,0.00068705453
Foundation_Wood,0.0006623745
RoofStyle_Gambrel,0.00061174465
Exterior1st_MetalSd,0.0006031653
Electrical_FuseF,0.0006023105
LotShape_IR2,0.000595423
SaleType_WD,0.0005859722
BsmtFinType1_BLQ,0.00058149395
FireplaceQu_Fa,0.0005743539
GarageFinish_RFn,0.000546395
MasVnrArea,0.0005463875
GarageType_BuiltIn,0.0005401815
HouseStyle_2.5Unf,0.00052477204
GarageType_Basment,0.0005184167
Neighborhood_CollgCr,0.00049584033
Exterior1st_WdShing,0.000485452
HeatingQC_TA,0.00045483833
Exterior2nd_VinylSd,0.00044658425
BsmtFinType1_LwQ,0.0004464528
BldgType_2fmCon,0.00044362468
YrSold,0.00043185364
Exterior1st_Wd Sdng,0.00041810036
MiscFeature_None,0.00041561254
FireplaceQu_TA,0.00040137305
IsRemodeled,0.00039818184
Heating_GasA,0.00039348827
LotShape_IR3,0.000355675
Neighborhood_NridgHt,0.00035317198
BldgType_TwnhsE,0.0003527122
Exterior2nd_CmentBd,0.00034989367
BldgType_Twnhs,0.00034652828
MiscVal,0.00032731227
Neighborhood_Sawyer,0.00031820877
SaleType_ConLD,0.00031069212
BsmtExposure_Mn,0.00029174387
RoofStyle_Gable,0.00028325839
Neighborhood_Gilbert,0.00028195747
HouseStyle_2Story,0.00028192904
RoofStyle_Hip,0.00027818378
PavedDrive_P,0.00027743448
Neighborhood_NoRidge,0.00027699073
Neighborhood_MeadowV,0.00024681792
BsmtFullBath,0.00023217687
ExterCond_TA,0.00022164824
Neighborhood_Timber,0.00020963687
MasVnrType_None,0.0002011084
HeatingQC_Fa,0.00019118394
BldgType_Duplex,0.00018890382
Condition2_PosA,0.00018360742
Exterior2nd_Other,0.00017284528
BsmtCond_Gd,0.00015606642
SaleType_ConLw,0.00015536792
GarageFinish_Unf,0.00015268744
GarageCond_Gd,0.00014254233
BsmtFinType2_Unf,0.00014104777
BsmtQual_Fa,0.0001371864
Functional_Min1,0.00013331608
LandContour_Low,0.00013272984
Neighborhood_BrDale,0.00013272937
MasVnrType_Stone,0.00012022125
Neighborhood_SWISU,0.00010200811
SaleCondition_AdjLand,9.810184e-05
KitchenQual_Fa,9.1251655e-05
RoofMatl_WdShngl,9.0413196e-05
BsmtFinType2_Rec,7.4212025e-05
Neighborhood_IDOTRR,5.6339915e-05
Condition1_RRNe,4.426856e-05
GarageQual_Fa,2.5924533e-05
Condition2_Norm,7.0572837e-06
PoolQC_Gd,0.0
PoolQC_None,0.0
SaleType_Con,0.0
SaleType_ConLI,0.0
PoolQC_Fa,0.0
GarageQual_Po,0.0
Fence_MnWw,0.0
